Rhythm_Restore_Refined_Updated
Timestamp,what time do you usually sleep,what time do you usually wake up,How often do you wake up in the middle of the night?,"How would you rate your stress levels during the day?Scale: 1 = No Stress, 5 = Extremely Stressed)",Do you feel mentally exhausted before bedtime? ,How often do you skip meals?,How much screen time do you get before bed?,Do you engage in any relaxation activities before bed?,How often do you exercise?,Do you consume caffeine(in the evening),How often are you stuck in traffic?,"Do you experience negative social interactions (arguments, conflicts, etc.) often?",Do you work/study late at night?,"What do you think helps you sleep better? (Meditation, Reducing Screen Time, Physical Activity, Warm Bath, Herbal Tea, White Noise, etc.if other mention down)",Diet Suggestions,Workout Suggestions,Sleep Time,Sleep Habit Suggestions,Stress Busters
2025-03-07 19:31:35,22:00:00,06:00:00,never,3,Yes,Occasionally,1.5Hr,No,A few times a week,Coffee,Sometimes,Sometimes,No,Reducing screentime and a warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",22:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-03-07 19:31:35,01:00:00,10:00:00,never,4,Yes,Sometimes,more than 2Hr,No,Rarely,No,Daily,Sometimes,Yes,Physical activity and warm bath ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:32:13,23:00:00,05:30:00,occasionally,1,No,Sometimes,1.5Hr,Sometimes,Daily,Tea,Rarely,Sometimes,Yes,"Physical activity, warm bath","Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Continue your workout routine; consider relaxation exercises like Tai Chi.,23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-03-07 19:32:29,11:30:00,08:00:00,occasionally,3,Yes,Occasionally,1Hr,"Yes, always",Rarely,No,Sometimes,Sometimes,Sometimes,Finding your own relaxing activity - for me it’s praying ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-03-07 19:33:16,00:00:00,06:00:00,occasionally,2,No,Occasionally,1Hr,Sometimes,A few times a week,"Coffee, Tea, Other",Rarely,Yes,Sometimes,Reducing screen ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",00:00:00,"Good sleep hygiene, continue current habits.","Set emotional boundaries, engage in positive conversations."
2025-03-07 19:33:59,12:00:00,06:00:00,occasionally,3,Yes,never,1Hr,No,Rarely,No,Daily,Sometimes,Sometimes,reducing screen time,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-03-07 19:34:20,23:00:00,06:45:00,occasionally,5,Yes,Occasionally,1.5Hr,No,Daily,No,Sometimes,No,Yes,Warm Bath. ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:40:25,00:00:00,08:30:00,occasionally,3,No,Sometimes,more than 2Hr,Sometimes,A few times a week,Other,Rarely,No,Yes,Physical activity,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",00:00:00,"Good sleep hygiene, continue current habits.",Journal 3 good things from your day — reflect and wind down.
2025-03-07 19:41:27,23:00:00,06:30:00,never,5,Yes,Always,1Hr,No,Never,Tea,Sometimes,Sometimes,Yes,"Free of tension,stress and problems","Increase meal frequency; eat nuts, bananas, yogurt, and whole-grain snacks. Ensure a protein-rich breakfast.",Start with light yoga or a 15-min walk daily.,23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:42:33,00:00:00,07:30:00,never,4,No,Often,more than 2Hr,Sometimes,Rarely,No,Sometimes,No,Yes,Physical activity ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",00:00:00,Practice relaxation techniques like deep breathing before bed.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:43:06,22:00:00,06:10:00,"never, Always",5,Yes,Sometimes,1Hr,No,Rarely,Tea,Rarely,Sometimes,No,Physical activity ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",22:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:49:56,23:00:00,07:00:00,never,2,No,never,1Hr,No,Rarely,No,Sometimes,No,No,Reducing screen time,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-03-07 19:52:17,23:00:00,07:00:00,frequently,3,No,Sometimes,1Hr,No,Rarely,No,Frequently,Sometimes,Sometimes,Warm bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-03-07 19:57:36,23:00:00,04:00:00,never,4,Yes,Occasionally,1Hr,No,A few times a week,No,Frequently,No,Sometimes,Prayer helps me sleep better by calming my mind..it relieves my stress by reminding me that God is in charge and taking care of everything,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:59:11,23:00:00,05:00:00,Always,5,Yes,Sometimes,more than 2Hr,No,A few times a week,No,Sometimes,Sometimes,Yes,"reducing screen time and pleasant area, phyiscal activity","Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 20:03:59,11:00:00,07:00:00,occasionally,3,Yes,never,1.5Hr,No,Rarely,No,Sometimes,No,No,Meditation,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-03-07 20:23:28,00:30:00,07:45:00,never,2,No,Often,1.5Hr,Sometimes,Daily,Coffee,Rarely,Sometimes,No,Physical activity ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,00:30:00,"Good sleep hygiene, continue current habits.",Play calm instrumental music or white noise to relax your mind.
2025-03-07 20:27:53,23:00:00,07:00:00,occasionally,3,Yes,Occasionally,1.5Hr,No,Daily,No,Frequently,Yes,Yes,A proper sleep cycle ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-03-07 20:29:50,22:30:00,06:30:00,frequently,4,No,Sometimes,1Hr,Sometimes,A few times a week,Tea,Sometimes,No,Yes,Meditation ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",22:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 22:35:24,00:30:00,08:00:00,occasionally,1,No,Often,2Hr,Sometimes,Rarely,"Coffee, Yes",Sometimes,Sometimes,Yes,"Meditation 

Physical activity ","Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",00:30:00,"Good sleep hygiene, continue current habits.",Journal 3 good things from your day — reflect and wind down.
2025-03-08 23:58:50,01:00:00,06:50:00,occasionally,2,No,Sometimes,2Hr,No,Rarely,No,Frequently,Yes,Yes,Physical Activity,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-03-15 12:01:35,00:30:00,08:00:00,occasionally,4,Yes,Often,2Hr,No,A few times a week,Coffee,Daily,Sometimes,Yes,Physical activity ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",00:30:00,Practice relaxation techniques like deep breathing before bed.,"Try guided meditation, journaling, or breathing exercises."
2025-03-15 12:08:11,01:00:00,05:30:00,frequently,2,No,never,2Hr,"Yes, always",A few times a week,Tea,Rarely,No,Yes,Good music and light hearted movies,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-03-15 12:08:11,11:45:00,06:30:00,never,3,No,Sometimes,1Hr,Sometimes,Rarely,No,Frequently,No,Yes,Warm bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:45:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-03-15 12:08:52,23:00:00,06:00:00,never,2,Yes,Occasionally,1Hr,Sometimes,A few times a week,Tea,Frequently,Sometimes,No,Physical Activity ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-03-15 12:17:06,00:00:00,08:00:00,occasionally,4,No,Sometimes,2Hr,Sometimes,A few times a week,Tea,Frequently,Yes,No,Warm Bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",00:00:00,Practice relaxation techniques like deep breathing before bed.,"Try guided meditation, journaling, or breathing exercises."
2025-03-15 12:20:08,22:00:00,02:00:00,never,4,No,Occasionally,1Hr,No,A few times a week,Coffee,Daily,No,No,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",22:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-15 12:20:36,12:00:00,07:00:00,never,3,Yes,Sometimes,1.5Hr,No,Rarely,Tea,Sometimes,No,Yes, ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-03-15 12:34:02,23:00:00,06:45:00,occasionally,3,Yes,Often,more than 2Hr,No,Rarely,No,Sometimes,Sometimes,Sometimes,Warm bath and reducing screen time,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-03-15 12:45:45,11:00:00,06:30:00,occasionally,2,No,Sometimes,more than 2Hr,No,Never,No,Rarely,Yes,Sometimes,AC,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Start with light yoga or a 15-min walk daily.,11:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-03-15 14:21:22,12:00:00,07:00:00,never,2,Yes,Occasionally,1Hr,No,Rarely,No,Sometimes,No,No,physical activity warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-03-15 14:21:52,10:30:00,07:30:00,occasionally,4,No,Sometimes,1Hr,No,Rarely,No,Sometimes,No,Sometimes,Don’t no,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",10:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-15 14:42:57,00:00:00,09:00:00,never,5,No,never,more than 2Hr,Sometimes,A few times a week,No,Sometimes,No,Sometimes,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",00:00:00,Practice relaxation techniques like deep breathing before bed.,"Try guided meditation, journaling, or breathing exercises."
2025-03-15 17:20:11,23:00:00,06:30:00,occasionally,4,Yes,Often,more than 2Hr,No,A few times a week,No,Frequently,Sometimes,Yes,U,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-15 19:50:46,01:00:00,07:15:00,occasionally,4,No,Occasionally,1Hr,Sometimes,Rarely,No,Frequently,Sometimes,Sometimes,Physical activity and reduced screen time before and relaxing activities before bed,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
